,Name,Perc_ of balls faced,Perc_ of balls delivered,is Wicket keeper
300,Sarfaraz Khan,100,0,0
301,Axar,40,59,0
302,Suryansh Shedge,37,62,0
303,Stubbs,94,5,1
304,Umesh Yadav,12,87,0
305,Satyanarayana Raju,4,96,0
306,Phil Salt,100,0,0
307,Prince Yadav,6,93,0
308,Chahar,4,95,0
309,Pollard,61,38,0
310,Jamie Overton,16,83,0
311,Abhijeet Tomar,100,0,0
312,Prasidh,1,98,0
313,Aaron,0,100,0
314,Jadeja,37,62,0
315,Mitchell Starc,4,95,0
316,M Siddharth,0,100,0
317,Padikkal,100,0,0
318,Kohler-Cadmore,100,0,0
319,Manav Suthar,14,85,0
320,Markram,85,14,0
321,Mandeep,100,0,0
322,Williamson,100,0,0
323,Venkatesh Iyer,96,3,0
324,Bumrah,2,97,0
325,Aniket Verma,100,0,0
326,Harshal Patel,7,92,0
327,Mujeeb,0,100,0
328,Rajat Patidar,100,0,0
329,Suryakumar Yadav,100,0,0
330,Cummins,18,81,0
331,KS Rathore,100,0,0
332,Solanki,0,100,0
333,Siraj,3,96,0
334,Yash Dayal,1,98,0
335,Topley,4,95,0
336,Tripathi,100,0,0
337,Richard Gleeson,2,97,0
338,Parnell,3,96,0
339,Vijaykumar Vyshak,3,96,0
340,Daryl Mitchell,78,21,0
341,Tristan Stubbs,90,9,0
342,Nathan Ellis,3,96,0
343,Bhandage,100,0,0
344,Joshua Little,0,100,0
345,Zampa,8,91,0
346,Shreyas Gopal,10,89,0
347,Sameer Rizvi,100,0,0
348,Parag,100,0,0
349,Southee,4,95,0
350,Markande,3,96,0
351,Abishek Porel,100,0,0
352,Srikar Bharat,100,0,0
353,Tanush Kotian,100,0,0
354,Moeen Ali,46,53,0
355,Tim David,100,0,0
356,Billings,100,0,1
357,Mukesh Kumar,2,97,0
